Run 117: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 118: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 119: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
----------------117/120----------------

Run 120: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 121: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 122: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 123: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 124: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 125: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 126: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 127: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 128: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 129: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
----------------127/130----------------

Run 130: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 131: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 132: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 133: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 134: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 135: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 136: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 137: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 138: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 139: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
----------------137/140----------------

Run 140: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 141: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 142: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 143: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 144: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 145: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 146: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 147: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 148: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 149: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
----------------147/150----------------

Run 150: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 151: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 152: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 153: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 154: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 155: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 156: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 157: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 158: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 159: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
----------------157/160----------------

Run 160: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 161: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 162: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 163: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 164: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 165: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 166: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 167: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 168: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 169: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
----------------167/170----------------

Run 170: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 171: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 172: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 173: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 174: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 175: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 176: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 177: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 178: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 179: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
----------------177/180----------------

Run 180: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 181: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 182: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 183: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 184: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 185: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 186: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 187: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 188: {Accuracy: 0.67, Precision: NaN, Recall: 0.00}
Run 189: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
----------------186/190----------------

Run 190: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 191: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 192: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 193: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 194: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 195: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 196: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 197: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 198: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 199: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
----------------196/200----------------

Run 200: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 201: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 202: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 203: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 204: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 205: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 206: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 207: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 208: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 209: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
----------------206/210----------------

Run 210: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 211: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 212: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 213: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 214: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 215: {Accuracy: 0.67, Precision: 0.00, Recall: NaN}
Run 216: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 217: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 218: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 219: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
----------------215/220----------------

Run 220: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 221: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 222: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 223: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 224: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 225: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 226: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 227: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 228: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 229: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
----------------225/230----------------

Run 230: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 231: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 232: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 233: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 234: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 235: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 236: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 237: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 238: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 239: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
----------------235/240----------------

Run 240: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 241: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 242: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 243: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 244: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 245: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 246: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 247: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 248: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 249: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
----------------245/250----------------

Run 250: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 251: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 252: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 253: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 254: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 255: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 256: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 257: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 258: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 259: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
----------------255/260----------------

Run 260: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 261: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 262: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 263: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 264: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 265: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 266: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 267: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 268: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 269: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
----------------265/270----------------

Run 270: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 271: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 272: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 273: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 274: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 275: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 276: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 277: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 278: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 279: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
----------------275/280----------------

Run 280: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 281: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 282: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 283: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 284: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 285: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 286: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 287: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 288: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 289: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
----------------285/290----------------

Run 290: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 291: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 292: {Accuracy: 0.80, Precision: 0.50, Recall: 1.00}
Run 293: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 294: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 295: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 296: {Accuracy: 0.67, Precision: 0.00, Recall: NaN}
Run 297: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
