Run 179: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
----------------162/180----------------

Run 180: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 181: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 182: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 183: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 184: {Accuracy: 0.00, Precision: 0.00, Recall: NaN}
Run 185: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 186: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 187: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 188: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 189: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
----------------171/190----------------

Run 190: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 191: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 192: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 193: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 194: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 195: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 196: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 197: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 198: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 199: {Accuracy: 0.00, Precision: 1.00, Recall: 1.00}
----------------180/200----------------

Run 200: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 201: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 202: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 203: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 204: {Accuracy: 0.00, Precision: 1.00, Recall: 1.00}
Run 205: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 206: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 207: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 208: {Accuracy: 0.00, Precision: NaN, Recall: NaN}
Run 209: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
----------------188/210----------------

Run 210: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 211: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 212: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 213: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 214: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 215: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 216: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 217: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 218: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 219: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
----------------198/220----------------

Run 220: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 221: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 222: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 223: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 224: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 225: {Accuracy: 0.00, Precision: NaN, Recall: 0.00}
Run 226: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 227: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 228: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 229: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
----------------207/230----------------

Run 230: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 231: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 232: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 233: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 234: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 235: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 236: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 237: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 238: {Accuracy: 0.00, Precision: NaN, Recall: 0.00}
Run 239: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
----------------216/240----------------

Run 240: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 241: {Accuracy: 0.00, Precision: NaN, Recall: NaN}
Run 242: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 243: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 244: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 245: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 246: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 247: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 248: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 249: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
----------------225/250----------------

Run 250: {Accuracy: 0.00, Precision: 0.00, Recall: NaN}
Run 251: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 252: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 253: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 254: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 255: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 256: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 257: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 258: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 259: {Accuracy: 0.00, Precision: 1.00, Recall: 1.00}
----------------233/260----------------

Run 260: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 261: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 262: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 263: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 264: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 265: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 266: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 267: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 268: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 269: {Accuracy: 0.00, Precision: 1.00, Recall: 1.00}
----------------242/270----------------

Run 270: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 271: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 272: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 273: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 274: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 275: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 276: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 277: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 278: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 279: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
----------------252/280----------------

Run 280: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 281: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 282: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 283: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 284: {Accuracy: 0.00, Precision: NaN, Recall: NaN}
Run 285: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 286: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 287: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 288: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 289: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
----------------261/290----------------

Run 290: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 291: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 292: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 293: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 294: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 295: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 296: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 297: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 298: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 299: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
----------------271/300----------------

Run 300: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 301: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 302: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 303: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 304: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 305: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 306: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 307: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 308: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 309: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
----------------281/310----------------

Run 310: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 311: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 312: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 313: {Accuracy: 0.00, Precision: 0.00, Recall: NaN}
Run 314: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 315: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 316: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 317: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 318: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 319: {Accuracy: 0.00, Precision: 0.00, Recall: NaN}
----------------289/320----------------

Run 320: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 321: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 322: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 323: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 324: {Accuracy: 0.00, Precision: 0.00, Recall: NaN}
Run 325: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 326: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 327: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 328: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 329: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
----------------298/330----------------

Run 330: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 331: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 332: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 333: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 334: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 335: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 336: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 337: {Accuracy: 0.00, Precision: NaN, Recall: NaN}
Run 338: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 339: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
----------------307/340----------------

Run 340: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 341: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 342: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 343: {Accuracy: 0.00, Precision: 0.00, Recall: NaN}
Run 344: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 345: {Accuracy: 0.00, Precision: NaN, Recall: NaN}
Run 346: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 347: {Accuracy: 0.00, Precision: NaN, Recall: 0.00}
Run 348: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 349: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
----------------314/350----------------

Run 350: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 351: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 352: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 353: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 354: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 355: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 356: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 357: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 358: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 359: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
----------------324/360----------------

Run 360: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 361: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 362: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 363: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 364: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 365: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 366: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 367: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 368: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 369: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
----------------334/370----------------

Run 370: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 371: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 372: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 373: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 374: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 375: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 376: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 377: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 378: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 379: {Accuracy: 0.00, Precision: NaN, Recall: 0.00}
----------------343/380----------------

Run 380: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
